Duration,Title,Published_date,Views,Likes,Comments,Type
43.0,O PRECONCEITO dos METALEIROS,2024-05-08,34042,2393,68,Short
38.0,LOBÃO não GOSTA de VAN HALEN,2024-05-07,52925,3193,248,Short
457.0,FOFOCA QUENTE do CAMARIM - SHOWS INTERNACIONAIS | NATIVIDADE #013,2024-05-06,959,76,10,Live
38.0,O NASCIMENTO do ANGRA,2024-05-06,14158,1185,13,Short
6105.0,JEFF SCOTT SOTO E SPEKTRA - AMPLIFICA #226,2024-05-06,14017,1162,30,Live
31.0,O PAPEL de UM VOCALISTA,2024-05-05,71564,4394,41,Short
992.0,ANGRA BOYBAND no SUL do BRASIL | RoadVlog #13,2024-05-04,12790,1039,53,Live
25.0,ZECA BALEIRO já CHEGOU MADURO na MÚSICA,2024-05-04,16805,826,7,Short
1186.0,CRIANDO sua MÚSICA do ZERO | LABS 011,2024-05-03,1263,80,6,Live
51.0,O PRIMEIRO SUCESSO do ZECA BALEIRO,2024-05-03,11638,614,14,Short
9229.0,PROGRAMA EXTRA - AMPLIFICA,2024-05-03,1913,115,3,Live
30.0,PAIXÃO à PRIMEIRA VISTA pela BATERIA!,2024-05-02,21122,1390,14,Short
12513.0,LIVIA E LUIZINHO - EM FAMÍLIA #011,2024-05-02,2739,144,2,Live
35.0,O CONTRASTE das MÚSICAS CALMAS e BARULHENTAS,2024-05-01,8620,628,6,Short
8047.0,JOÃO SUPLICY - AMPLIFICA #225,2024-05-01,5296,339,10,Live
30.0,BRUNO VALVERDE não ESCUTA MÚSICA,2024-04-30,53796,3064,128,Short
688.0,DESTRUINDO o HINO do SEU TIME | NATIVIDADE #012,2024-04-29,1578,135,15,Live
47.0,BRUNO VALVERDE é VICIADO em TOCAR BATERIA!!!,2024-04-29,28660,2863,13,Short
34.0,COMO ELOY começou NA BATERIA?,2024-04-28,26663,2238,16,Short
707.0,ANIVERSÁRIO na ESTRADA - NORDESTE pt.2 | RoadVlog #12,2024-04-27,10943,955,21,Live
34.0,ELOY CASAGRANDE no SLIPKNOT!!!,2024-04-27,301971,25662,259,Short
785.0,BASTIDORES da PIRÂMIDE do ALOK | AMPLIFICA em BSB,2024-04-26,1252,109,17,Live
36.0,A BELEZA do VIOLÃO de 7 CORDAS,2024-04-26,344846,26561,201,Short
8476.0,NERVOSA - AMPLIFICA #224,2024-04-26,56873,3062,136,Live
34.0,POR QUE ACABARAM os SOLOS em MÚSICAS de ROCK?,2024-04-25,70243,5178,52,Short
12637.0,IGOR 3K + GIANZÃO - EM FAMÍLIA #010,2024-04-25,17566,1148,32,Live
53.0,TELEGRAMA não É MAIS do ZECA BALEIRO,2024-04-24,13869,1333,26,Short
11439.0,LOBÃO - AMPLIFICA #223,2024-04-24,52736,3174,235,Live
44.0,COMO o TOM MORELLO era UM DJ na GUITARRA?,2024-04-23,73608,5728,174,Short
584.0,RAFAEL BITTENCOURT é nosso HATER - Respondendo LOVERS e HATERS | NATIVIDADE #011,2024-04-22,1887,194,27,Live
36.0,HOJE TODOS podem FAZER MÚSICA!,2024-04-22,7909,561,2,Short
39.0,O FUTURO do ROCK vai SER...,2024-04-21,18221,1401,24,Short
13593.0,REACT SHOW ALOK AO VIVO - BSB 6.4,2024-04-21,0,738,5,Live
